"name","summary","imgLink"
"Beta Centauri","Beta Centauri (Latinised from β Centauri, abbreviated Beta Cen, β Cen), also named Hadar, is a triple star system in the southern constellation of Centaurus. The system's combined apparent visual magnitude of 0.61 makes it the second-brightest object in Centaurus and one of the brightest ""stars"" in the night sky. According to parallax measurements from the astrometric Hipparcos satellite, the distance to this system is about 390 ± 20 light-years (120 ± 6 parsecs).Beta Centauri is well known in the Southern Hemisphere as the inner of the two ""Pointers"" to the asterism known as the Southern Cross. A line made from the other pointer, Alpha Centauri, through Beta Centauri leads to within a few degrees of Gacrux, the star at the north end of the cross. Using Gacrux, a navigator can draw a line with Acrux at the south end to effectively determine south.

","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Centaurus_constellation_map.svg/1000px-Centaurus_constellation_map.svg.png"
"Thuban","Thuban, also designated Alpha Draconis (α Draconis, abbreviated Alpha Dra, α Dra), is a star (or star system) in the constellation of Draco. A relatively inconspicuous star in the night sky of the Northern Hemisphere, it is historically significant as having been the north pole star from the 4th to 2nd millennium BC.
Even though Johann Bayer gave Thuban the designation Alpha, its apparent magnitude of 3.65 means it is 3.7 times fainter than the brightest star in the constellation, Gamma Draconis (Eltanin), whose apparent magnitude is 2.24.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Draco_constellation_map.svg/901px-Draco_constellation_map.svg.png"
"Theta Centauri","Theta Centauri (θ Centauri, abbreviated Theta Cen, θ Cen), also named Menkent, is a star in the southern constellation of Centaurus, the centaur. With an apparent visual magnitude of +2.06, it is the fourth-brightest member of the constellation. Based on parallax measurements obtained during the Hipparcos mission, it is about 58.8 light-years (18.0 parsecs) distant from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Centaurus_IAU.svg/1000px-Centaurus_IAU.svg.png"
"Arcturus","Arcturus, also designated α Boötis (Latinized to Alpha Boötis, abbreviated Alpha Boo, α Boo), is the brightest star in the constellation of Boötes, the fourth-brightest in the night sky, and the brightest in the northern celestial hemisphere. Together with Spica and Denebola (or Regulus, depending on the source), Arcturus is part of the Spring Triangle asterism and, by extension, also of the Great Diamond along with the star Cor Caroli.
Relatively close at 36.7 light-years from the Sun, Arcturus is a red giant of spectral type K0III—an ageing star around 7.1 billion years old that has used up its core hydrogen and moved off the main sequence. It is 1.08±0.06 times as massive as the Sun, but has expanded to 25.4±0.2 times its diameter and is around 170 times as luminous.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Bo%C3%B6tes_IAU.svg/814px-Bo%C3%B6tes_IAU.svg.png"
"Proxima Centauri","Proxima Centauri (from Latin, meaning 'nearest [star] of Centaurus'), or Alpha Centauri C, is a red dwarf, a small low-mass star, about 4.244 light-years (1.301 pc) from the Sun in the constellation of Centaurus. It was discovered in 1915 by Robert Innes and is the nearest-known star to the Sun. With a quiescent apparent magnitude of 11.13, it is too faint to be seen with the naked eye. Proxima Centauri forms a third component of the Alpha Centauri system, currently with a separation of about 12,950 AU (1.94 trillion km) and an orbital period of 550,000 years. At present Proxima is 2.18° to the southwest of Alpha Centauri.Because of Proxima Centauri's proximity to Earth, its angular diameter can be measured directly. The star is about one-seventh the diameter of the Sun. It has a mass about an eighth of the Sun's mass (M☉), and its average density is about 33 times that of the Sun. Although it has a very low average luminosity, Proxima is a flare star that undergoes random dramatic increases in brightness because of magnetic activity. The star's magnetic field is created by convection throughout the stellar body, and the resulting flare activity generates a total X-ray emission similar to that produced by the Sun. The mixing of the fuel at Proxima Centauri's core through convection and its relatively low energy-production rate mean that it will be a main-sequence star for another four trillion years, or nearly 300 times the current age of the universe.In 2016, the European Southern Observatory announced the discovery of Proxima Centauri b, a planet orbiting the star at a distance of roughly 0.05 AU (7.5 million km) with an orbital period of approximately 11.2 Earth days. Its estimated mass is at least 1.3 times that of the Earth. The equilibrium temperature of Proxima b is estimated to be within the range of where water could exist as liquid on its surface, thus placing it within the habitable zone of Proxima Centauri, although because Proxima Centauri is a red dwarf and a flare star, whether it could support life is disputed.
Previous searches for orbiting companions had ruled out the presence of brown dwarfs and supermassive planets.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/New_shot_of_Proxima_Centauri%2C_our_nearest_neighbour.jpg/1000px-New_shot_of_Proxima_Centauri%2C_our_nearest_neighbour.jpg"
"Alpha Centauri","Alpha Centauri (Latinized from α Centauri, abbreviated Alpha Cen or α Cen) is the closest star system to the Solar System at 4.37 light-years (1.34 pc) from the Sun. It is a triple star system, consisting of three stars: α Centauri A (officially Rigil Kentaurus), α Centauri B (officially Toliman), and α Centauri C (officially Proxima Centauri). 
Alpha Centauri A and B are Sun-like stars (Class G and K), and together they form the binary star Alpha Centauri AB. To the naked eye, the two main components appear to be a single star with an apparent magnitude of −0.27, forming the brightest star in the southern constellation of Centaurus and the third-brightest in the night sky, outshone only by Sirius and Canopus.
Alpha Centauri A has 1.1 times the mass and 1.519 times the luminosity of the Sun, while Alpha Centauri B is smaller and cooler, at 0.907 times the Sun's mass and 0.445 times its luminosity. The pair orbit about a common centre with an orbital period of 79.91 years. Their elliptical orbit is moderately eccentric, greater than that of Mercury, so that the distance between A and B varies from nearly that between Pluto and the Sun (35.6 astronomical units), to that between Saturn and the Sun (11.2 AU).
Alpha Centauri C, or Proxima Centauri, is a small and faint red dwarf (Class M). Though not visible to the naked eye, Proxima Centauri is the closest star to the Sun at a distance of 4.24 light-years (1.30 pc), being slightly closer than Alpha Centauri AB at a distance of 4.37 light-years (1.34 pc). Currently, the distance between Proxima Centauri and Alpha Centauri AB is about 13,000 astronomical units (0.21 ly), equivalent to about 430 times the radius of Neptune's orbit. Proxima Centauri b is an Earth-sized exoplanet in the habitable zone of Proxima Centauri; it was discovered in 2016.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Alpha%2C_Beta_and_Proxima_Centauri_%281%29.jpg/1000px-Alpha%2C_Beta_and_Proxima_Centauri_%281%29.jpg"
"Epsilon Boötis","Epsilon Boötis (ε Boötis, abbreviated Epsilon Boo, ε Boo), also named Izar, is a binary star in the northern constellation of Boötes. The star system can be viewed with the unaided eye at night, but resolving the pair with a small telescope is challenging; an aperture of 76 mm (3.0 in) or greater is required.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Bo%C3%B6tes_IAU.svg/814px-Bo%C3%B6tes_IAU.svg.png"
"Beta Ursae Minoris","Beta Ursae Minoris (β Ursae Minoris, abbreviated Beta UMi, β UMi), also named Kochab, is the brightest star in the bowl of the Little Dipper asterism (which is part of the constellation of Ursa Minor), and only slightly fainter than Polaris, the northern pole star and brightest star in Ursa Minor. Kochab is 16 degrees from Polaris and has an apparent visual magnitude of 2.08. The distance to this star from the Sun can be deduced from the parallax measurements made during the Hipparcos mission, yielding a value of 130.9 light-years (40.1 parsecs).Amateur astronomers can use Kochab as a very precise guide for setting up a telescope, as the celestial north pole is located 43 arcminutes away from Polaris, very close to the line connecting Polaris with Kochab.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Ursa_Minor_IAU.svg/901px-Ursa_Minor_IAU.svg.png"
"Alpha Librae","Alpha Librae (α Librae, abbreviated Alpha Lib, α Lib), is a double star and despite its 'alpha' designation the second-brightest star in the constellation of Libra. The two components are designated α¹ Librae and α² Librae. The system bore the traditional name of Zubenelgenubi, though the International Astronomical Union now regards that name as only applying to α² Librae.Alpha² Librae is 0.33 degrees north of the ecliptic so it can be occulted by the Moon and (very rarely) by planets. It was occulted by Venus on October 25, 1947; the next occultation by a planet will be by Mercury on 10 November 2052.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Libra_IAU.svg/1000px-Libra_IAU.svg.png"
"Beta Librae","Beta Librae (β Librae, abbreviated Beta Lib, β Lib), also named Zubeneschamali, is (despite its 'beta' designation) the brightest star in the zodiac constellation of Libra. From parallax measurements, its distance can be estimated as 185 light-years (57 parsecs) from the Sun.The apparent visual magnitude of this star is 2.6. According to Eratosthenes Beta Librae was observed to be brighter than Antares. Ptolemy, 350 years later, said it was as bright as Antares. The discrepancy may be due to Antares becoming brighter, but this is not known for certain. It could simply be caused by Beta Librae being a variable star, showing a present-day variability of 0.03 of a magnitude.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Libra_IAU.svg/1000px-Libra_IAU.svg.png"
"Alpha Coronae Borealis","Alpha Coronae Borealis (α Coronae Borealis, abbreviated Alpha CrB, α CrB), also named Alphecca, is an eclipsing binary star in the constellation of Corona Borealis. It is located about 75 light years from the Sun and contains two main sequence stars, one class A and one class G.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Corona_Borealis_constellation_map.svg/1000px-Corona_Borealis_constellation_map.svg.png"
"Alpha Serpentis","Alpha Serpentis (α Serpentis, abbreviated Alpha Ser, α Ser), also named Unukalhai, is a double star in the head (Serpens Caput) of the equatorial constellation of Serpens. With an apparent visual magnitude of 2.6, this star is the brightest in the constellation and it can be viewed with the naked eye from most of the Earth. Parallax measurements yield an estimated distance of about 74 light-years (23 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Serpens_Caput_IAU.svg/767px-Serpens_Caput_IAU.svg.png"
"Delta Scorpii","Delta Scorpii (δ Scorpii, abbreviated Delta Sco, δ Sco) is a binary star (the presence of a third star in the system is being debated) in the constellation of Scorpius. The primary component is named Dschubba.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Scorpius_constellation_map.svg/1000px-Scorpius_constellation_map.svg.png"
"Graffias","Graffias is the proper name for some stars in the constellations between Scorpius and Libra.
It can refer to:

β Sco; later transferred from ξ Sco.
ξ Sco (also 51 Lib); applied to Bayer's star list in his Uranometria.
Burritt's ξ of Libra; applied to Burritt's star map.
ζ Sco; applied to Becvar's star list, as Grafias.",""
"Antares","Antares (), also designated α Scorpii (Latinised to Alpha Scorpii, abbreviated Alpha Sco, α Sco), is on average the fifteenth-brightest star in the night sky, and the brightest object in the constellation of Scorpius. Distinctly reddish when viewed with the naked eye, Antares is a slow irregular variable star that ranges in brightness from apparent magnitude +0.6 to +1.6. Often referred to as ""the heart of the scorpion"", Antares is flanked by σ Scorpii and τ Scorpii in the center of the constellation.
Classified as a red supergiant of spectral type M1.5Iab-Ib, Antares A is the brightest, most massive, and most evolved stellar member of the nearest OB association (the Scorpius–Centaurus Association). Antares is a member of the Upper Scorpius subgroup of the Scorpius–Centaurus Association, which contains thousands of stars with mean age 11 million years at a distance of approximately 170 parsecs (550 ly). Its exact size remains uncertain, but if placed at the center of the Solar System it would reach to somewhere between the orbits of Mars and Jupiter. Its mass is calculated to be around 12 times that of the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Scorpius_IAU.svg/808px-Scorpius_IAU.svg.png"
"Beta Herculis","Beta Herculis (β Herculis, abbreviated Beta Her, β Her), also named Kornephoros, is a binary star and the brightest star in the northern constellation of Hercules at a base apparent visual magnitude of 2.81. This is a suspected variable star with an apparent magnitude that may rise as high as 2.76. Based upon parallax measurements, it is located at a distance of 139 light-years (43 parsecs) from the Sun.Although Beta Herculis appears to the naked eye to be a single star, in July 1899 the American astronomer W. W. Campbell discovered from spectroscopic measurements that its radial velocity varies, and concluded that it has a companion.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Hercules_constellation_map.svg/901px-Hercules_constellation_map.svg.png"
"Alpha Trianguli Australis","Alpha Trianguli Australis (α Trianguli Australis, abbreviated Alpha TrA, α TrA), also named Atria, is the brightest star in the southern constellation of Triangulum Australe, forming an apex of a triangle with Beta and Gamma Trianguli Australis that gives the constellation its name (Latin for southern triangle).","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Triangulum_Australe_IAU.svg/1000px-Triangulum_Australe_IAU.svg.png"
"Alpha Herculis","Alpha Herculis (α Herculis, abbreviated Alpha Her, α Her), also designated 64 Herculis, is a multiple star system in the constellation of Hercules. Appearing as a single point of light to the naked eye, it is resolvable into a number of components through a telescope. It has a combined apparent magnitude of 3.08, although the brightest component is variable in brightness. Based on parallax measurements obtained during the Hipparcos mission, it is approximately 360 light-years (110 parsecs) distant from the Sun.It consists of two binary pairs in mutual orbit designated α¹ Herculis or α Herculis A (the brightest of the two) and α² Herculis or α Herculis B. A's two components are themselves designated α Herculis Aa (also named Rasalgethi) and Ab; B's as α Herculis Ba and Bb.
Alpha Herculis also forms the A and B components of a wider system designated WDS J17146+1423 with two additional visual companions designated WDS J17146+1423C and D.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Hercules_constellation_map.svg/901px-Hercules_constellation_map.svg.png"
"Beta Draconis","Beta Draconis (β Draconis, abbreviated Beta Dra, β Dra) is a binary star and the third-brightest star in the northern circumpolar constellation of Draco. With an apparent visual magnitude of 2.79, it is bright enough to be easily seen with the naked eye. Based upon parallax measurements from the Hipparcos astrometry satellite, it lies at a distance of about 380 light-years (120 parsecs) from the Sun.The two components are designated Beta Draconis A (also named Rastaban) and B.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Draco_constellation_map.svg/901px-Draco_constellation_map.svg.png"
"Lambda Scorpii","Lambda Scorpii (λ Scorpii, abbreviated Lambda Sco, λ Sco), also named Shaula, is (despite being designated 'Lambda') the second-brightest star system in the constellation of Scorpius, and one of the brightest stars in the nighttime sky.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Scorpius_constellation_map.svg/1000px-Scorpius_constellation_map.svg.png"
"Alpha Ophiuchi","Alpha Ophiuchi (α Ophiuchi, abbreviated Alpha Oph, α Oph), also called Rasalhague, is a binary star and the brightest star in the constellation of Ophiuchus.

","https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Ophiuchus_constellation_map.svg/887px-Ophiuchus_constellation_map.svg.png"
"Theta Scorpii","Theta Scorpii (θ Scorpii, abbreviated Theta Sco, θ Sco) is a binary star in the southern zodiac constellation of Scorpius. The apparent visual magnitude of this star is +1.87, making it readily visible to the naked eye and one of the brightest stars in the night sky. It is sufficiently near that the distance can be measured directly using the parallax technique and such measurements obtained during the Hipparcos mission yield an estimate of approximately 300 light-years (90 parsecs) from the Sun.The two components are designated Theta Scorpii A (also named Sargas) and B.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Scorpius_constellation_map.svg/1000px-Scorpius_constellation_map.svg.png"
"Beta Ophiuchi","Beta Ophiuchi (β Ophiuchi, abbreviated Beta Oph, β Oph), also named Cebalrai, is a star in the equatorial constellation of Ophiuchus. The apparent visual magnitude of this star is 2.7, which is readily visible to the naked eye even from urban skies. The distance to this star can be estimated using parallax measurements, yielding a value of 81.8 light-years (25.1 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ophiuchus_IAU.svg/813px-Ophiuchus_IAU.svg.png"
"Gamma Draconis","Gamma Draconis (γ Draconis, abbreviated Gamma Dra, γ Dra), also named Eltanin, is a star in the northern constellation of Draco. Contrary to its gamma-designation (historically third-ranked), it is the brightest star in Draco at magnitude 2.4, outshining Rastaban (Beta Draconis) by nearly half a magnitude. In 1.5 million years, Eltanin will pass within 28 light years of Earth. For a period, if its current absolute magnitude does not change, it will be the brightest star in the night sky, nearly as bright as Sirius is at present.It is by far the brightest star having a zenith above a point near London (and thus Leipzig, Düsseldorf, Astana and Calgary) which occurs near midnight (24:00h) at London which led to its vaunting in these places as the ""zenith star"" or ""London zenith star"". From other locations it has a nearby bright, well-known star in Lyra in night sky; finding Vega, Eltanin is the red star just north-northwest of it.
Eltanin is at a distance of 154.3 light-years (47.3 parsecs) from the Sun, as determined by parallax measurements from the Hipparcos astrometry satellite. In 1728, while unsuccessfully attempting to measure the parallax of this star, James Bradley discovered the aberration of light resulting from the movement of the Earth. Bradley's discovery confirmed Copernicus' theory that the Earth revolved around the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Draco_constellation_map.svg/901px-Draco_constellation_map.svg.png"
"Barnard's Star","Barnard's Star  is a very-low-mass red dwarf about 6 light-years away from Earth in the constellation of Ophiuchus. It is the fourth nearest known individual star to the Sun (after the three components of the Alpha Centauri system) and the closest star in the Northern Celestial Hemisphere. Despite its proximity, the star has a dim apparent magnitude of +9.5 and is invisible to the unaided eye; it is much brighter in the infrared than in visible light.
The star is named after the American astronomer E. E. Barnard. He was not the first to observe the star (it appeared on Harvard University plates in 1888 and 1890), but in 1916 he measured its proper motion as 10.3 arcseconds per year relative to the Sun, the highest known for any star.Barnard's Star is among the most studied red dwarfs because of its proximity and favorable location for observation near the celestial equator. Historically, research on Barnard's Star has focused on measuring its stellar characteristics, its astrometry, and also refining the limits of possible extrasolar planets. Although Barnard's Star is an ancient star, it still experiences star flare events, one being observed in 1998.
From the early 1960s to the early 1970s, Peter van de Kamp argued that there were one or more gas giants in orbit around it. His specific claims of large gas giants were refuted in the mid-1970s after much debate. 
In November 2018 a candidate super-Earth planetary companion known as Barnard's Star b was reported to orbit Barnard's Star. It is believed to have 3.2 M⊕ (Earth masses) and orbit at 0.4 au.","https://upload.wikimedia.org/wikipedia/commons/1/18/Barnardstar2006.jpg"
"Gamma2 Sagittarii","Gamma² Sagittarii (γ² Sagittarii, abbreviated Gamma² Sgr, γ² Sgr), also named Alnasl, is a 3rd-magnitude star in the zodiac constellation of Sagittarius. The location of this star forms the tip of the arrow in the bow of Sagittarius the Centaur. Based on parallax measurements obtained during the Hipparcos mission, it is approximately 96.9 light-years (29.7 parsecs) from the Sun. It has an apparent visual magnitude of +2.98, making it the seventh-brightest star in the constellation.
It forms part of a double star along with a fainter optical companion designated Gamma¹ Sagittarii located about 50 arcminutes north of this star. The latter is a magnitude 4.7 Cepheid variable star that also has the variable star designation W Sagittarii.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Sagittarius_constellation_map.svg/1000px-Sagittarius_constellation_map.svg.png"
"Delta Sagittarii","Delta Sagittarii (δ Sagittarii, abbreviated Delta Sgr, δ Sgr), also named Kaus Media, is a double star in the southern zodiac constellation of Sagittarius. The apparent visual magnitude of this star is +2.70, making it easily visible to the naked eye. Parallax measurements place the distance at roughly 348 light-years (107 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Sagittarius_IAU.svg/812px-Sagittarius_IAU.svg.png"
"Epsilon Sagittarii","Epsilon Sagittarii (ε Sagittarii, abbreviated Epsilon Sgr, ε Sgr), also named Kaus Australis, is a binary star system in the southern zodiac constellation of Sagittarius. The apparent visual magnitude of +1.85 makes it the brightest star in the constellation. Based upon parallax measurements, this star is around 143 light-years (44 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Sagittarius_constellation_map.svg/1000px-Sagittarius_constellation_map.svg.png"
"Lambda Sagittarii","Lambda Sagittarii (λ Sagittarii, abbreviated Lambda Sgr, λ Sgr), also named Kaus Borealis, is a star in the southern constellation of Sagittarius. The star marks the top of the Archer's bow.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Sagittarius_constellation_map.svg/1000px-Sagittarius_constellation_map.svg.png"
"Vega","Vega, also designated α Lyrae (Latinised to Alpha Lyrae, abbreviated Alpha Lyr or α Lyr), is the brightest star in the constellation of Lyra, the fifth-brightest star in the night sky, and the second-brightest star in the northern celestial hemisphere, after Arcturus. It is relatively close at only 25 light-years from the Sun, and, together with Arcturus and Sirius, one of the most luminous stars in the Sun's neighborhood.
Vega has been extensively studied by astronomers, leading it to be termed “arguably the next most important star in the sky after the Sun”. Vega was the northern pole star around 12,000 BC and will be so again around the year 13,727, when the declination will be +86°14'. Vega was the first star other than the Sun to be photographed and the first to have its spectrum recorded. It was one of the first stars whose distance was estimated through parallax measurements. Vega has functioned as the baseline for calibrating the photometric brightness scale and was one of the stars used to define the mean values for the UBV photometric system.
Vega is only about a tenth of the age of the Sun, but since it is 2.1 times as massive, its expected lifetime is also one tenth of that of the Sun; both stars are at present approaching the midpoint of their life expectancies. Vega has an unusually low abundance of the elements with a higher atomic number than that of helium. Vega is also a variable star that varies slightly in brightness. It is rotating rapidly with a velocity of 236 km/s at the equator. This causes the equator to bulge outward due to centrifugal effects, and, as a result, there is a variation of temperature across the star's photosphere that reaches a maximum at the poles. From Earth, Vega is observed from the direction of one of these poles.Based on an observed excess emission of infrared radiation, Vega appears to have a circumstellar disk of dust. This dust is likely to be the result of collisions between objects in an orbiting debris disk, which is analogous to the Kuiper belt in the Solar System. Stars that display an infrared excess due to dust emission are termed Vega-like stars.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Vega_in_lyra.svg/1000px-Vega_in_lyra.svg.png"
"The Ensigns of Command","""The Ensigns of Command"" is the second episode of the third season of the syndicated American science fiction television series Star Trek: The Next Generation, the 50th episode overall, first broadcast on October 2, 1989.
Set in the 24th century, the series follows the adventures of the crew of the Federation starship USS Enterprise-D. In this episode, Commander Data (Brent Spiner) must convince a reluctant colony of more than 15,000 to prepare for immediate evacuation while Captain Picard (Patrick Stewart) attempts to negotiate a three-week reprieve from aliens intent on colonizing the planet themselves in four days and wiping out any humans found there.",""
"Nunki","Nunki may mean:

Nunki (Game), Bahá'í-Activity-Board-Game
Sigma Sagittarii, star in the constellation Sagittarius",""
"Pi Sagittarii","Pi Sagittarii (π Sagittarii, abbreviated Pi Sgr, π Sgr) is a triple star system in the zodiac constellation of Sagittarius. It has an apparent visual magnitude of +2.89, bright enough to be readily seen with the naked eye. Based upon parallax measurements, it is roughly 510 light-years (160 parsecs) from the Sun.The three components are designated Pi Sagittarii A (also named Albaldah), B and C.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Sagittarius_constellation_map.svg/1000px-Sagittarius_constellation_map.svg.png"
"Albireo","Albireo is the traditional name for the double star also designated Beta Cygni (β Cygni, abbreviated Beta Cyg, β Cyg), although the International Astronomical Union now regards the name as only applying to the brightest component. Although designated 'beta', it is fainter than Gamma Cygni, Delta Cygni, and Epsilon Cygni and is the fifth-brightest point of light in the constellation of Cygnus. Appearing to the naked eye to be a single star of magnitude 3, viewing through even a low-magnification telescope resolves it into its two components. The brighter yellow star (actually itself a very close binary system) makes a striking colour contrast with its fainter blue companion.","https://upload.wikimedia.org/wikipedia/commons/c/c2/Position_beta_Cyg.png"
"Campbell's Hydrogen Star","star HD 184738, also known as Campbell’s hydrogen star. It is surrounded by plumes of reddish gas — the fiery red and orange hues are caused by glowing gases, including hydrogen and nitrogen. HD 184738 is at the centre of a small planetary nebula. The star itself is known as a  [WC] star, a rare class resembling their much more massive counterparts — Wolf-Rayet stars. These stars are named after two French astronomers, Charles Wolf and Georges Rayet, who first identified them in the mid-nineteenth century. Wolf-Rayet stars are hot stars, perhaps 20 times more massive than the Sun, that are rapidly blowing away material and losing mass. [WC] stars are rather different: they are low-mass Sun-like stars at the end of their lives. While these stars have recently ejected much of their original mass, the hot stellar core is still losing mass at a high rate, creating a hot wind. It is these winds that cause them to resemble Wolf-Rayet stars. However, astronomers can look more closely at the composition of these winds to tell the stars apart; [WC] stars are identified by the carbon and oxygen in their winds. Some true Wolf-Rayet stars are rich in nitrogen instead, but this is very rare among their low-mass counterparts. HD 184738 is also very bright in the infrared part of the spectrum, and is surrounded by dust very similar to the material that the Earth formed from. The origin of this dust is uncertain. A version of this image was entered into the Hubble’s Hidden Treasures image processing competition by contestant Jean-Christophe Lambry. Credit: ESA/Hubble & NASA Acknowledgement: Jean-Christophe Lambry","https://cdn.spacetelescope.org/archives/images/thumb700x/potw1337a.jpg"
"Gamma Aquilae","Gamma Aquilae (γ Aquilae, abbreviated Gamma Aql, γ Aql), also known as Tarazed, is a star in the constellation of Aquila. It has an apparent visual magnitude of 2.712, making it readily visible to the naked eye at night. Parallax measurements place it at a distance of 395 light-years (121 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Aquila_constellation_map.svg/1000px-Aquila_constellation_map.svg.png"
"Altair","Altair () (from Arabic ""al-ṭā'ir""), also designated α Aquilae (Latinised to Alpha Aquilae, abbreviated Alpha Aql, α Aql), is the brightest star in the constellation of Aquila and the twelfth brightest star in the night sky. It is currently in the G-cloud—a nearby interstellar cloud, which is an accumulation of gas and dust. Altair is an A-type main sequence star with an apparent visual magnitude of 0.77 and is one of the vertices of the Summer Triangle asterism (the other two vertices are marked by Deneb and Vega). It is 16.7 light-years (5.13 parsecs) from the Sun and is one of the closest stars visible to the naked eye.Altair rotates rapidly, with a velocity at the equator of approximately 286 km/s. This is a significant fraction of the star's estimated breakup speed of 400 km/s. A study with the Palomar Testbed Interferometer revealed that Altair is not spherical, but is flattened at the poles due to its high rate of rotation. Other interferometric studies with multiple telescopes, operating in the infrared, have imaged and confirmed this phenomenon.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Aquila_charta.png/1000px-Aquila_charta.png"
"Beta Aquilae","Beta Aquilae (β Aquilae, abbreviated Beta Aql, β Aql) is a binary star in the equatorial constellation of Aquila. Based on parallax measurements obtained during the Hipparcos mission, it is approximately 44.7 light-years from the Sun.
Its two components are designated Beta Aquilae A (also named Alshain) and B.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Aquila_constellation_map.png/1000px-Aquila_constellation_map.png"
"Cygnus X-1","Cygnus X-1 (abbreviated Cyg X-1) is a galactic X-ray source in the constellation Cygnus, and the first such source widely accepted to be a black hole. It was discovered in 1964 during a rocket flight and is one of the strongest X-ray sources seen from Earth, producing a peak X-ray flux density of 2.3×10−23 Wm−2 Hz−1 (2.3×103 Jansky). It remains among the most studied astronomical objects in its class. The compact object is now estimated to have a mass about 14.8 times the mass of the Sun and has been shown to be too small to be any known kind of normal star, or other likely object besides a black hole. If so, the radius of its event horizon has 300 km ""as upper bound to the linear dimension of the source region"" of occasional X-ray bursts lasting only for about 1 ms.Cygnus X-1 belongs to a high-mass X-ray binary system, located about 6,070 light years from the Sun, that includes a blue supergiant variable star designated HDE 226868 which it orbits at about 0.2 AU, or 20% of the distance from the Earth to the Sun. A stellar wind from the star provides material for an accretion disk around the X-ray source. Matter in the inner disk is heated to millions of degrees, generating the observed X-rays. A pair of jets, arranged perpendicular to the disk, are carrying part of the energy of the infalling material away into interstellar space.This system may belong to a stellar association called Cygnus OB3, which would mean that Cygnus X-1 is about five million years old and formed from a progenitor star that had more than 40 solar masses. The majority of the star's mass was shed, most likely as a stellar wind. If this star had then exploded as a supernova, the resulting force would most likely have ejected the remnant from the system. Hence the star may have instead collapsed directly into a black hole.Cygnus X-1 was the subject of a friendly scientific wager between physicists Stephen Hawking and Kip Thorne in 1974, with Hawking betting that it was not a black hole. He conceded the bet in 1990 after observational data had strengthened the case that there was indeed a black hole in the system. This hypothesis lacks direct empirical evidence but has generally been accepted from indirect evidence.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Cygnus_IAU.svg/813px-Cygnus_IAU.svg.png"
"Gamma Cygni","Gamma Cygni (γ Cygni, abbreviated Gamma Cyg, γ Cyg), also named Sadr, is a star in the northern constellation of Cygnus, forming the intersection of an asterism of five stars called the Northern Cross. Based upon parallax measurements obtained during the Hipparcos mission, it is approximately 1,800 light-years (560 parsecs) from the Sun.It forms the primary or 'A' component of a multiple star system designated WDS J20222+4015 (the secondary or 'BC' component is CCDM J20222+4015BC, a close pair of stars 40"" away from γ Cygni).","https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Cygnus_constellation_map.svg/1000px-Cygnus_constellation_map.svg.png"
"Alpha Pavonis","Alpha Pavonis (α Pavonis, abbreviated Alpha Pav, α Pav), also named Peacock, is a binary star in the southern constellation of Pavo, near the border with the constellation Telescopium.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Pavo_constellation_map.svg/1000px-Pavo_constellation_map.svg.png"
